TechCenterShort,AllowanceRate
Semiconductors,0.11499423430417756
Crypto,0.08840562297248589
Business,0.08427961245963121
Mechanical,0.06945219140341091
Networking,0.060574948665297744
Software,0.055905684632991566
Chemical,0.050165293592905495
Biotech,0.03596989790548363
Design,0.0
